actual,reheating leftovers,boiling water,thawing something,baking something,roasting something,toasting something,frying something,preparing frozen food,following instructions,fewer dishes,faster,texture,taste
microwave,yes,no,no,no,no,no,no,no,no,no,yes,no,no
toaster,no,no,no,no,no,yes,no,no,no,yes,yes,yes,yes
oven,no,no,no,yes,no,no,no,no,yes,no,no,yes,yes
electric kettle,no,yes,no,no,no,no,no,no,no,yes,yes,no,no
stovetop,no,no,no,no,no,no,yes,no,no,no,no,yes,yes
microwave,yes,no,no,no,no,no,no,no,no,no,yes,no,no
toaster,no,no,no,no,no,yes,no,no,no,yes,yes,yes,yes
oven,no,no,no,yes,no,no,no,no,yes,no,no,yes,yes
electric kettle,no,yes,no,no,no,no,no,no,no,yes,yes,no,no
stovetop,no,no,no,no,no,no,yes,no,no,no,no,yes,yes
microwave,yes,no,no,no,no,no,no,no,no,no,yes,no,no
toaster,no,no,no,no,no,yes,no,no,no,yes,yes,yes,yes
oven,no,no,no,yes,no,no,no,no,yes,no,no,yes,yes
electric kettle,no,yes,no,no,no,no,no,no,no,yes,yes,no,no
stovetop,no,no,no,no,no,no,yes,no,no,no,no,yes,yes
microwave,yes,no,no,no,no,no,no,no,no,no,yes,no,no
toaster,no,no,no,no,no,yes,no,no,no,yes,yes,yes,yes
oven,no,no,no,yes,no,no,no,no,yes,no,no,yes,yes
electric kettle,no,yes,no,no,no,no,no,no,no,yes,yes,no,no
stovetop,no,no,no,no,no,no,yes,no,no,no,no,yes,yes
microwave,yes,no,no,no,no,no,no,no,no,no,yes,no,no
toaster,no,no,no,no,no,yes,no,no,no,yes,yes,yes,yes
oven,no,no,no,yes,no,no,no,no,yes,no,no,yes,yes
electric kettle,no,yes,no,no,no,no,no,no,no,yes,yes,no,no
stovetop,no,no,no,no,no,no,yes,no,no,no,no,yes,yes
